Product ID,Product Name,Category,Price,Description
001,Stainless Steel Water Bottle,Sports & Outdoors,19.99,24 oz, insulated, keeps drinks cold for 48 hours
002,Bluetooth Headphones,Electronics,59.99,Over-ear, noise-canceling, 20-hour battery life
003,Organic Green Tea,Food & Beverage,12.99,Box of 100 tea bags, sustainably sourced
004,LED Desk Lamp,Home & Office,29.99,Adjustable, touch control, 5 brightness levels
005,Travel Backpack,Bags & Luggage,79.99,35L capacity, water-resistant, multiple compartments
006,Wireless Phone Charger,Electronics,24.99,10W fast charging, compatible with most smartphones
007,Yoga Mat,Sports & Outdoors,39.99,Eco-friendly material, non-slip, 6mm thickness
008,Graphic T-Shirt,Fashion,14.99,100% cotton, unisex, available in various sizes and colors
009,4K Action Camera,Electronics,129.99,Waterproof, Wi-Fi enabled, includes accessories
010,Classic Board Game,Toys & Games,19.99,For ages 8 and up, 2-6 players
011,Ergonomic Office Chair,Home & Office,199.99,Adjustable height, lumbar support, breathable mesh
012,Portable Bluetooth Speaker,Electronics,49.99,10-hour battery life, water-resistant, 360-degree sound
013,Silicone Baking Mat,Kitchenware,9.99,Non-stick, oven-safe, easy to clean
014,Solar-Powered Garden Light,Home & Garden,29.99,Set of 4, auto on/off, weather-resistant
015,Digital Kitchen Scale,Kitchenware,15.99,Measures up to 5 kg, precision sensor, LCD display
016,Running Shoes,Sports & Outdoors,89.99,Lightweight, breathable, available in various sizes
017,Air Fryer,Kitchenware,99.99,3.5-liter capacity, digital touchscreen, dishwasher safe
018,Wireless Mouse,Electronics,19.99,Ergonomic design, USB rechargeable, 3 DPI levels
019,Scented Candle,Home Decor,11.99,50-hour burn time, made with natural soy wax
020,Electric Toothbrush,Personal Care,49.99,Rechargeable, comes with 3 brush heads, 2-minute timer
